ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,dist_from_city
244,Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2.0,3.0,72.5,17.3
245,Plot  Area,Ready To Move,Electronic City,3 Bedroom,Unknown,1200,3.0,1.0,90.0,18.1
246,Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2.0,1.0,40.0,18.1
247,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3.0,1.0,70.0,11.8
248,Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3.0,2.0,280.0,30.9
249,Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3.0,2.0,185.0,7.7
250,Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1.0,1.0,20.0,24.0
251,Built-up  Area,Ready To Move,Anand Nagar,2 BHK,Unknown,1060,2.0,2.0,55.0,10.1
252,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,2.0,93.0,11.0
253,Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,Unknown,900,2.0,2.0,22.5,21.8
254,Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,Unknown,1280,2.0,1.0,69.0,13.8
255,Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,Unknown,1200,2.0,0.0,95.0,12.2
256,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Unknown,1025,2.0,2.0,36.0,17.2
257,Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,63.0,18.1
258,Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,Unknown,1200,5.0,1.5817572892040976,170.0,13.8
259,Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3.0,2.0,170.0,17.3
260,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3.0,2.0,300.0,18.9
261,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3.0,2.0,75.5,11.1
262,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,43.9,15.3
263,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,59.9,30.9
264,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2.0,2.0,49.2,17.2
265,Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4.0,0.0,52.8,31.8
266,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,Unknown,1464,3.0,2.0,46.0,12.1
267,Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2.0,2.0,61.58,14.4
268,Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1.0,1.0,26.0,17.3
269,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3.0,2.0,120.0,13.5
270,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Unknown,913,2.0,1.0,32.0,17.2
271,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3.0,2.0,131.0,17.1
272,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Unknown,883,2.0,1.0,45.0,16.9
273,Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,Unknown,900,2.0,1.0,110.0,17.3
274,Super built-up  Area,Ready To Move,Kogilu,3 BHK,Unknown,1664,2.0,3.0,73.95,19.6
275,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3.0,2.0,132.0,13.7
276,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2.0,1.0,80.9,16.1
277,Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4.0,2.0,250.0,30.9
278,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,91.45,18.7
279,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3.0,3.0,55.0,27.7
280,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,1.0,34.5,22.7
281,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,1.0,100.0,11.0
282,Plot  Area,Ready To Move,Srirampura,6 Bedroom,Unknown,1450,6.0,0.0,250.0,7.5
283,Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,78.8,20.3
284,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Unknown,1075,2.0,1.0,46.0,38.4
285,Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2.0,2.0,94.0,4.7
286,Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2.0,1.0,40.0,13.5
287,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Unknown,1280,2.0,2.0,56.0,8.9
288,Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2.0,2.0,50.0,17.3
289,Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,25.88,24.0
290,Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2.0,1.0,51.25,26.5
291,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Unknown,1027,2.0,2.0,44.0,14.9
292,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2.0,2.0,45.0,19.3
293,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2.0,1.0,98.2,11.1
294,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,50.0,15.8
295,Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,2.0,3.0,75.0,12.9
296,Plot  Area,18-Jan,TC Palaya,3 Bedroom,Unknown,1475,3.0,1.0,98.0,12.2
297,Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2.0,2.0,47.0,5.1
298,Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,4.0,0.0,120.0,11.4
299,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Unknown,880,3.0,1.0,140.0,10.2
300,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3.0,2.0,104.0,17.2
301,Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2.0,1.0,29.5,12.8
302,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2.0,1.0,70.0,13.5
303,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3.0,0.0,100.0,11.1
304,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3.0,2.0,105.0,11.8
305,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,2.0,3.0,45.0,13.8
306,Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.0,26.5
307,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,95.0,18.4
308,Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,4.0,3.0,65.0,12.9
309,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3.0,3.0,150.0,9.9
310,Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2.0,3.0,100.0,14.2
311,Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3.0,3.0,115.0,17.3
312,Super built-up  Area,18-Apr,Yelahanka,2 BHK,Unknown,1350,2.0,1.0,55.55,20.8
313,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,67.0,26.5
314,Super built-up  Area,18-Apr,Malleshpalya,2 BHK,Unknown,1140,2.0,2.0,46.5,9.4
315,Plot  Area,Ready To Move,Srirampura,5 Bedroom,Unknown,1200,5.0,2.0,180.0,7.5
316,Super built-up  Area,18-Dec,Kodathi,2 BHK,Unknown,850,2.0,2.0,27.0,20.3
317,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2.0,2.0,75.0,17.3
318,Built-up  Area,Ready To Move,Munnekollal,2 BHK,Unknown,1170,2.0,2.0,52.0,12.4
319,Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2.0,1.0,51.0,12.8
320,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2.0,1.0,83.09,14.4
321,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.0,18.1
322,Plot  Area,Ready To Move,Marathahalli,2 Bedroom,Unknown,1200,2.0,2.0,128.0,10.9
323,Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,Unknown,1200,4.0,3.0,165.0,14.2
324,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,415.0,9.6
325,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,Unknown,2400,4.0,1.0,400.0,10.2
326,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,2.0,56.0,14.9
327,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Unknown,1200,2.0,2.0,55.0,10.4
328,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2.0,2.0,52.0,8.9
329,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2.0,1.0,55.0,32.9
330,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,95.0,13.9
331,Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,Unknown,1000,2.0,1.0,67.0,17.2
332,Plot  Area,Ready To Move,Haralur Road,4 Bedroom,Unknown,2650,4.0,2.0,198.0,14.9
333,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2.0,2.0,74.0,11.7
334,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3.0,2.0,215.0,3.1
335,Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,58.0,17.3
336,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2.0,2.0,45.0,12.9
337,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,230.0,15.0
338,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,Unknown,1600,3.0,3.0,64.0,12.0
339,Plot  Area,18-Mar,T.C PALYA,2 Bedroom,Unknown,1200,2.0,0.0,79.0,17.3
340,Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,Unknown,1230,2.0,3.0,48.0,17.3
341,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2.0,2.0,40.0,12.0
342,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2.0,2.0,76.0,13.5
343,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,1.0,150.0,11.0
344,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,2.0,1.5817572892040976,21.53,26.5
345,Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Unknown,1200,2.0,2.0,65.0,10.9
346,Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,Unknown,1350,2.0,0.0,140.0,17.3
347,Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3.0,1.0,49.36,21.7
348,Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3.0,0.0,150.0,17.3
349,Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3.0,2.0,74.0,17.3
350,Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2.0,1.0,43.25,23.1
351,Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2.0,1.0,77.0,16.1
352,Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3.0,2.0,75.0,17.3
353,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2.0,3.0,57.0,13.8
354,Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1.0,1.0,28.35,19.3
355,Plot  Area,Ready To Move,RMV,3 Bedroom,Unknown,2000,3.0,2.0,365.0,17.3
356,Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,Unknown,1762,3.0,1.0,125.0,17.3
357,Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,Unknown,950,2.0,2.0,50.0,17.3
358,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5.0,3.0,335.0,6.1
359,Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2.0,1.0,50.0,21.7
360,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,2.0,89.04,13.2
361,Super built-up  Area,Ready To Move,MS Pallya,3 BHK,Unknown,1200,3.0,0.0,90.0,17.0
362,Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,Unknown,1500,4.0,2.0,230.0,17.3
363,Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,Unknown,500,1.0,1.0,18.5,18.8
364,Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2.0,1.0,52.0,10.0
365,Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1.0,0.0,11.66,24.0
366,Built-up  Area,Ready To Move,Bellandur,2 BHK,Unknown,1205,2.0,3.0,66.0,12.9
367,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0,10.9
368,Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2.0,2.0,39.0,11.9
369,Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2.0,1.0,60.0,16.1
370,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,212.0,11.1
371,Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2.0,2.0,55.0,15.8
372,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2.0,1.0,65.0,18.8
373,Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,275.0,36.2
374,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,46.8,10.8
375,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2.0,1.0,108.0,13.3
376,Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3.0,2.0,110.0,10.6
377,Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1.0,0.0,29.9,14.5
378,Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3.0,2.0,95.0,18.1
379,Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3.0,0.0,77.0,16.6
380,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3.0,2.0,115.0,13.7
381,Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2.0,1.5817572892040976,90.0,10.3
382,Plot  Area,19-Jan,Anekal,2 Bedroom,Unknown,1200,1.0,1.0,36.0,34.2
383,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,44.0,10.8
384,Built-up  Area,Ready To Move,Kengeri,2 BHK,Unknown,1000,2.0,1.0,25.0,22.5
385,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,40.0,26.5
386,Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,Unknown,1629,3.0,2.0,79.0,13.5
387,Built-up  Area,Ready To Move,Vijayanagar,3 BHK,Unknown,1580,2.0,0.0,134.0,11.1
388,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3.0,2.0,121.0,11.1
389,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2.0,1.0,94.0,11.0
390,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2.0,2.0,45.79,15.3
391,Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2.0,1.0,33.0,26.5
392,Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3.0,3.0,108.0,13.4
393,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2.0,2.0,53.0,20.3
394,Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2.0,1.0,58.0,10.3
395,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2.0,1.0,32.0,19.6
396,Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2.0,2.0,55.0,11.9
397,Super built-up  Area,Ready To Move,K N Extension,6 BHK,Unknown,700,3.0,1.5817572892040976,120.0,17.3
398,Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2.0,1.0,120.0,19.0
399,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3.0,1.0,45.0,24.0
400,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3.0,2.0,161.0,17.3
401,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4.0,1.0,230.0,17.3
402,Plot  Area,Ready To Move,Battarahalli,2 Bedroom,Unknown,1200,2.0,1.0,65.0,12.9
403,Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,Unknown,1200,4.0,1.0,175.0,17.3
404,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,1.0,82.0,11.0
405,Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,Unknown,1000,2.0,0.0,165.0,12.4
406,Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,Unknown,1200,2.0,0.0,125.0,18.8
407,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,410.0,9.6
408,Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,Unknown,12000,6.0,3.0,2200.0,9.6
409,Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,Unknown,550,1.0,1.0,62.0,8.4
410,Super built-up  Area,Ready To Move,Kengeri,1 BHK,Unknown,34.46Sq. Meter,1.0,0.0,18.5,22.5
411,Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2.0,1.5817572892040976,38.0,17.3
412,Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,38.0,22.5
413,Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,Unknown,1200,7.0,3.0,250.0,11.4
414,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,64.5,26.5
415,Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3.0,2.0,88.0,17.3
416,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2.0,2.0,62.0,10.6
417,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,Unknown,1350,3.0,2.0,150.0,17.0
418,Plot  Area,17-Dec,Anandapura,2 Bedroom,Unknown,1000,2.0,1.0,55.0,12.4
419,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,Unknown,1090,2.0,2.0,31.48,21.6
420,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Unknown,1200,2.0,0.0,60.0,12.2
421,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,103.0,30.9
422,Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2.0,1.0,26.5,21.7
423,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2.0,1.0,75.0,13.7
424,Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2.0,2.0,67.0,13.3
425,Plot  Area,Ready To Move,Chandapura,6 Bedroom,Unknown,1533,5.0,3.0,85.0,24.0
426,Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3.0,2.0,79.0,16.1
427,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2.0,2.0,55.0,7.2
428,Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2.0,1.0,55.0,21.7
429,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3.0,2.0,140.0,10.9
430,Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2.0,0.0,69.0,19.0
431,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2.0,3.0,69.0,15.1
432,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Unknown,1240,2.0,2.0,47.12,15.2
433,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,2.0,48.1,15.3
434,Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,Unknown,1200,8.0,1.5817572892040976,250.0,11.0
435,Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4.0,1.5817572892040976,240.0,2.4
436,Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3.0,2.0,55.0,6.5
437,Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3.0,2.0,68.29,29.8
438,Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1.0,1.0,40.0,29.2
439,Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,Unknown,1000,4.0,3.0,110.0,15.0
440,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,11890,4.0,3.0,700.0,17.3
441,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2.0,1.0,76.0,12.9
442,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,95.0,11.0
443,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1670,2.0,3.0,57.0,17.2
444,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3.0,2.0,100.0,23.1
445,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,71.0,17.5
446,Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2.0,2.0,95.0,13.3
447,Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1.0,1.0,34.65,18.1
448,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,135.0,16.1
449,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Unknown,1650,3.0,2.0,78.0,15.0
450,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,1.0,55.47,15.3
451,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3.0,2.0,252.0,10.2
452,Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,74.03,17.2
453,Plot  Area,Ready To Move,Thippasandra,4 Bedroom,Unknown,1200,4.0,2.0,200.0,17.3
454,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2.0,2.0,55.0,11.9
455,Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4.0,3.0,325.0,17.3
456,Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,30.35,24.0
457,Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3.0,2.0,98.0,13.8
458,Super built-up  Area,18-Apr,Marathahalli,2 BHK,Unknown,950,2.0,1.0,46.96,10.9
459,Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9.0,3.0,360.0,17.3
460,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3.0,0.0,120.0,16.1
461,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2.0,1.0,35.23,19.3
462,Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2.0,1.0,30.0,10.3
463,Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Unknown,1020,2.0,2.0,63.0,11.3
464,Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Unknown,1100,2.0,2.0,50.0,12.1
465,Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2.0,2.0,126.0,4.2
466,Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,130.0,11.1
467,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Unknown,1800,3.0,3.0,110.0,13.7
468,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Unknown,1070,2.0,1.0,54.0,13.8
469,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Unknown,1500,4.0,2.0,220.0,15.2
470,Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,Unknown,1440,2.0,0.0,95.0,18.0
471,Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2.0,1.0,40.0,14.4
472,Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,Unknown,1200,4.0,1.0,230.0,17.3
473,Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,42.16,17.3
474,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,165.0,8.3
475,Super built-up  Area,19-Jun,Kodigehalli,2 BHK,Unknown,1270,2.0,1.0,98.0,15.8
476,Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2.0,1.0,62.0,17.3
477,Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,Unknown,4800,4.0,1.5817572892040976,235.0,17.3
478,Super built-up  Area,Ready To Move,NS Palya,2 BHK,Unknown,1200,2.0,1.0,74.0,9.7
479,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,0.0,50.17,16.0
480,Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4.0,2.0,260.0,11.4
481,Plot  Area,Ready To Move,Basavangudi,4 Bedroom,Unknown,1125,4.0,3.0,180.0,7.1
482,Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,Unknown,500,3.0,2.0,65.0,21.8
483,Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5.0,2.0,190.0,7.9
484,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,Unknown,1464,3.0,2.0,56.0,12.1
485,Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,Unknown,3600,4.0,3.0,400.0,11.0
486,Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,Unknown,2000,4.0,2.0,99.0,17.3
487,Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Unknown,1208,2.0,1.0,49.0,12.1
